station_id,name,lat,lon,net_flow
HB106,River St & Newark St,40.736722273163316,-74.02900660353771,174
JC003,City Hall,40.7177325,-74.043845,102
HB101,Hoboken Terminal - Hudson St & Hudson Pl,40.73593758446329,-74.03030455112457,32
JC066,Newport PATH,40.7272235,-74.0337589,30
5470.12,North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,25
JC022,Oakland Ave,40.7376037,-74.0524783,-196
JC055,McGinley Square,40.7253399253558,-74.06762212514877,-139
JC094,Glenwood Ave,40.72755146730012,-74.07106071710587,-89
HB609,River St & 1 St,40.73721535335381,-74.02886540972803,-79
HB202,14 St Ferry - 14 St & Shipyard Ln,40.752960630464955,-74.02435272932053,-73
