station_id,name,lat,lon,net_flow
6498.10,E 47 St & 2 Ave,40.75323098,-73.97032517,1
6526.01,W 35 St & 8 Ave,40.752762088742045,-73.99280458705107,3
6535.04,W 34 St & Hudson Blvd E,40.75516719072139,-74.00059908628464,7
6541.03,E 48 St & 3 Ave,40.7546011026,-73.971878855,1
6551.02,W 44 St & 5 Ave,40.75500254,-73.98014437,1
6578.01,W 34 St & 11 Ave,40.75594159,-74.0021163,8
6593.15,6 Ave & W 45 St,40.756951,-73.982631,1
6611.02,W 37 St & 10 Ave,40.75660359,-73.9979009,1
6611.07,Hudson Blvd W & W 36 St,40.75676475086503,-73.99971440439913,4
6617.09,E 53 St & Lexington Ave,40.75828065,-73.97069431,1
6626.01,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,1
6650.07,E 55 St & 2 Ave,40.75797322,-73.96603308,1
6659.09,Madison Ave & E 51 St,40.75863,-73.97513,1
6691.11,E 56 St & 3 Ave,40.75934501,-73.96759673,1
6726.01,11 Ave & W 41 St,40.76030096,-73.99884222,3
6740.01,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,1
6740.10,W 51 St & 6 Ave,40.7606597,-73.98042047,2
6756.05,W 44 St & 11 Ave,40.762009,-73.996975,3
6765.01,12 Ave & W 40 St,40.76087502,-74.00277668,8
6779.05,Broadway & W 53 St,40.76344058,-73.98268129,1
6786.02,W 47 St & 9 Ave,40.76153045158114,-73.99007007479668,1
6816.07,8 Ave & W 52 St,40.76370739,-73.9851615,4
6830.04,3 Ave & E 62 St,40.76313,-73.96527,1
6854.05,W 50 St & 9 Ave,40.763604677958625,-73.98917958140373,1
6948.10,Broadway & W 58 St,40.76695317,-73.98169333,1
6955.05,W 54 St & 11 Ave,40.768333,-73.992573,2
7023.04,W 59 St & 10 Ave,40.770513,-73.988038,1
7175.05,Columbus Ave & W 72 St,40.7770575,-73.97898475,1
7188.13,Madison Ave & E 82 St,40.7781314,-73.96069399,1
8057.02,Grand Concourse & E 164 St,40.829608,-73.921461,1
