,4298.05,4413.08,4446.01,4446.05,4614.04,4659.02,4692.01,4846.01,4953.04,4993.13,4993.15,5001.08,5024.10,5073.08,5105.01,5114.06,5134.09,5137.10,5137.11,5175.08,5184.08,5207.01,5216.04,5238.05,5247.10,5256.06,5262.09,5288.12,5297.02,5303.08,5348.10,5359.11,5359.13,5368.03,5382.06,5391.06,5430.08,5430.10,5445.07,5450.04,5453.01,5470.10,5470.12,5492.05,5509.02,5539.06,5539.08,5561.04,5561.06,5569.06,5578.02,5610.09,5616.01,5653.12,5679.05,5679.08,5687.04,5696.03,5730.08,5788.12,5847.01,5922.04,6022.04,6030.04,6039.06,6072.11,6072.16,6115.06,6115.09,6157.04,6190.03,6206.08,6215.04,6233.04,6306.01,6306.06,6364.07,6364.10,6389.09,6432.08,6432.09,6450.05,6459.04,6459.07,6492.08,6498.10,6526.01,6535.04,6541.03,6551.02,6578.01,6593.15,6611.02,6611.07,6617.09,6626.01,6650.07,6659.09,6691.11,6726.01,6740.01,6740.10,6756.05,6765.01,6779.05,6786.02,6816.07,6830.04,6854.05,6948.10,6955.05,7023.04,7175.05,7188.13,8057.02,8358.03,HB101,HB103,HB105,HB106,HB201,HB202,HB203,HB301,HB302,HB303,HB304,HB305,HB401,HB402,HB407,HB408,HB409,HB410,HB501,HB502,HB503,HB505,HB506,HB601,HB602,HB603,HB608,HB609,HB610,HB611,HB612,JC002,JC003,JC006,JC008,JC009,JC013,JC014,JC018,JC019,JC020,JC022,JC023,JC024,JC027,JC032,JC034,JC035,JC038,JC051,JC052,JC053,JC055,JC057,JC059,JC063,JC065,JC066,JC072,JC074,JC075,JC076,JC077,JC078,JC080,JC081,JC082,JC084,JC093,JC094,JC095,JC097,JC098,JC099,JC102,JC103,JC105,JC107,JC108,JC109,JC110,JC115,JC116,JC117,JC118,JC119,JC120,JC121,JC122,JC123,JC124,JC127,JC130,JC131,JC132,JC133,JC134,JC135,JC137,JC138,JC139,JC140,JC142,JC143,JC144,JC145,JC148,JC149
5679.08,4.8109,4.4252,4.3986,4.4609,3.8587,3.961,3.9331,3.1303,2.6967,2.753,2.6233,2.918,2.3671,2.5144,2.2989,2.7147,2.8237,1.8549,2.0784,2.0681,2.3335,1.694,1.9463,1.4822,1.5702,2.1123,1.6872,1.8509,2.1736,1.392,2.8397,1.2986,1.4091,1.9928,0.8187,0.9754,1.2501,1.1083,0.9567,3.4442,0.6226,1.3709,1.4422,0.4856,1.3743,1.1658,0.9618,0.3319,0.1834,0.5686,1.2488,0.8369,1.4712,1.0583,0.163,0.0,0.6714,1.3756,1.1754,0.8542,1.2607,1.401,1.2559,1.3592,1.8294,1.7399,1.6988,1.7675,2.1196,2.0824,2.0629,2.274,2.0028,2.5546,2.3305,2.4413,2.602,2.678,2.9981,3.1766,3.2133,2.7166,2.7824,3.0135,2.9402,3.6635,2.9648,3.259,3.7192,3.4462,3.3643,3.5818,3.3938,3.4256,4.1217,3.7433,4.3028,3.9837,4.3576,3.8098,4.1176,4.0311,3.9898,3.9143,4.2759,3.9562,4.2587,4.8186,4.1939,4.6749,4.6947,4.968,5.8205,6.4654,13.0681,14.5712,3.1593,3.0052,3.269,3.089,3.6505,3.8674,4.1216,3.817,3.8903,3.8675,4.2571,4.3778,4.1229,3.9803,3.8357,4.3146,3.6441,4.2831,3.9863,3.7831,4.3349,4.1239,4.3707,3.627,3.2836,3.5549,3.5114,3.0993,4.3058,3.1726,3.2407,3.5048,4.2132,3.6624,3.1316,4.1444,4.222,3.7927,5.5142,5.2936,5.829,4.9993,4.6867,5.1174,4.2541,4.3455,4.7609,4.516,3.7918,7.5134,5.3696,7.022,6.1118,4.5877,4.5702,7.2572,6.1864,3.2597,3.9656,4.2966,4.5245,4.6509,6.4635,5.8821,5.68,4.6589,4.0577,6.1676,6.4768,6.4027,6.45,4.1257,3.4091,4.769,3.7905,5.7403,4.4844,7.4681,8.0211,5.8674,4.7537,4.113,3.4816,5.5142,5.9094,6.5562,6.5268,6.7465,7.1537,6.9581,7.9514,7.3271,8.4665,8.48,8.0568,7.6977,8.4097,9.0136,8.7289,8.5315,8.6505,8.1086,7.8475,7.7335,8.8671,7.6704,3.5556,3.5999
5687.04,4.9822,4.5942,4.6066,4.7032,3.95,4.3509,4.3925,2.9843,2.6373,2.6714,2.5277,2.6498,2.3114,2.2658,2.1029,2.403,3.4314,1.7522,1.9693,1.8648,2.0083,1.6038,1.6915,1.604,1.4186,1.7422,2.1792,1.5295,1.7399,1.8022,3.4925,1.0819,1.1744,1.5166,1.094,0.8584,0.9411,0.8348,1.5746,4.1155,1.1453,0.8781,0.9856,0.7358,0.8351,0.7076,0.4633,0.8151,0.6783,0.264,0.6576,0.3441,2.1409,0.4188,0.5351,0.6714,0.0,0.7048,0.5117,1.3158,0.7346,0.9385,1.4391,1.2181,1.4264,1.5471,1.3777,1.4535,1.7812,1.7147,1.828,2.5577,2.1104,2.2421,2.0745,2.2074,2.7249,2.8037,3.2989,3.4448,3.481,2.7029,2.6219,2.8461,2.8795,4.0007,2.979,3.127,4.0263,3.65,3.2076,3.7352,3.3081,3.3097,4.406,3.9546,4.6333,4.218,4.6621,3.7078,4.2765,4.1872,3.9141,3.7554,4.3873,3.9795,4.338,5.1123,4.2219,4.78,4.6675,4.9882,5.9108,6.6991,13.3049,14.7035,2.5039,2.3615,2.6204,2.4407,3.1582,3.393,3.6411,3.1896,3.2796,3.2691,3.6482,3.7773,3.4611,3.3255,3.1894,3.6641,2.9881,3.6469,3.4137,3.2594,3.7591,3.5937,3.85,3.0118,2.6967,2.9876,2.8692,2.4546,3.7579,2.5619,2.5891,2.9526,3.5987,3.03,2.462,3.4786,3.6351,3.1814,4.843,4.6232,5.1734,4.3318,4.0315,4.4629,3.5955,3.704,4.0903,3.8914,3.2429,6.8696,4.7811,6.3628,5.4515,3.9509,3.9678,6.6409,5.516,2.5944,3.4124,3.6462,3.8643,4.0069,5.8203,5.27,5.0304,3.9976,3.4177,5.5473,5.8155,5.7379,5.7978,3.5225,2.7574,4.1358,3.2118,5.0689,3.8149,6.8582,7.4167,5.1976,4.1471,3.4874,2.901,4.9092,5.3094,5.9511,5.9083,6.1122,6.5197,6.3548,7.3158,6.7427,7.8545,7.8549,7.4848,7.1374,7.8224,8.4077,8.1507,7.9666,8.1054,7.5811,7.2303,7.1301,8.2786,7.0162,2.9323,2.9826
5696.03,5.2102,4.827,4.8773,5.0051,4.1218,4.7965,4.9001,2.9472,2.7143,2.7227,2.5741,2.4919,2.417,2.161,2.0759,2.209,4.0759,1.8713,2.0534,1.8577,1.8337,1.7586,1.6485,1.9516,1.5445,1.5408,2.7569,1.4303,1.4465,2.3419,4.1755,1.2274,1.2701,1.1892,1.6272,1.1871,1.0326,1.0187,2.2464,4.8187,1.7903,0.7186,0.8403,1.338,0.6038,0.718,0.635,1.4787,1.364,0.8684,0.4295,0.6704,2.8457,0.371,1.2387,1.3756,0.7048,0.0,0.2604,1.9529,0.6773,0.8863,1.9144,1.4751,1.3183,1.6824,1.3945,1.4633,1.7031,1.6062,1.8726,3.022,2.4611,2.1461,2.0646,2.2106,3.05,3.1273,3.7517,3.8671,3.9019,2.9028,2.6752,2.878,3.0226,4.4682,3.1913,3.1829,4.4683,4.0119,3.2326,4.0498,3.4048,3.3744,4.822,4.3155,5.0854,4.5936,5.0915,3.7723,4.5829,4.4929,3.9997,3.7565,4.6468,4.1637,4.5679,5.5265,4.4043,5.0255,4.7841,5.1465,6.1247,7.0425,13.6231,14.9147,1.8443,1.7296,1.9745,1.7973,2.7618,3.0151,3.248,2.5772,2.6952,2.7055,3.0621,3.2033,2.7828,2.6617,2.5428,3.0066,2.3236,3.015,2.8891,2.8137,3.224,3.1301,3.3953,2.4236,2.1651,2.481,2.2333,1.8187,3.265,1.9911,1.9369,2.4071,2.959,2.3708,1.7575,2.7767,3.0312,2.5495,4.1412,3.9184,4.4804,3.6401,3.3401,3.7959,2.9009,3.0294,3.3911,3.2369,2.6956,6.1874,4.1665,5.6658,4.7538,3.3163,3.3889,5.9884,4.817,1.8937,2.8563,2.9609,3.1676,3.3284,5.1396,4.6253,4.3702,3.2997,2.746,4.8925,5.1167,5.0362,5.1078,2.8982,2.0733,3.4699,2.6246,4.3651,3.1188,6.2123,6.7758,4.4928,3.5139,2.834,2.3162,4.2743,4.6789,5.3125,5.2547,5.4408,5.848,5.7172,6.6417,6.1256,7.2048,7.1912,6.8796,6.5462,7.1996,7.7639,7.5373,7.3683,7.5286,7.0254,6.5758,6.4908,7.6537,6.3236,2.2865,2.3448
5730.08,5.2699,4.8841,4.9202,5.0362,4.199,4.7667,4.8412,3.088,2.8169,2.8338,2.6857,2.6654,2.5074,2.3161,2.206,2.3904,3.9371,1.95,2.1469,1.9784,2.0056,1.8229,1.7769,1.9481,1.6141,1.7159,2.6572,1.5718,1.6461,2.2597,4.0042,1.2797,1.3416,1.3933,1.5412,1.1709,1.0941,1.046,2.0851,4.6165,1.6474,0.8461,0.9727,1.2147,0.7462,0.781,0.6185,1.3219,1.1898,0.7275,0.5402,0.6002,2.6353,0.3435,1.0279,1.1754,0.5117,0.2604,0.0,1.7014,0.4693,0.6956,1.6551,1.235,1.1657,1.4691,1.2051,1.2776,1.5493,1.4608,1.6849,2.7652,2.2155,2.0047,1.8949,2.0388,2.8104,2.8881,3.4968,3.6156,3.6506,2.6863,2.4932,2.7034,2.8197,4.2125,2.9734,3.0032,4.2152,3.7687,3.0619,3.8144,3.2152,3.1932,4.5722,4.0729,4.8316,4.3491,4.8403,3.5928,4.3499,4.2598,3.8152,3.595,4.4228,3.9551,4.35,5.2775,4.1967,4.8051,4.5934,4.9461,5.9125,6.8052,13.3924,14.7071,1.9923,1.8528,2.1099,1.9303,2.7465,2.9922,3.2331,2.6864,2.785,2.7816,3.1536,3.287,2.95,2.8138,2.6792,3.1528,2.4764,3.1396,2.9419,2.8231,3.2838,3.1499,3.4113,2.5154,2.2196,2.522,2.3604,1.9453,3.3009,2.0698,2.0779,2.664,3.2177,2.6269,1.9817,3.0078,3.2916,2.809,4.3434,4.1355,4.7209,3.824,3.5826,3.9512,3.1412,3.2807,3.5878,3.4933,2.953,6.434,4.4266,5.902,4.9896,3.4432,3.4761,6.2442,5.0127,2.1284,3.1146,3.2075,3.4056,3.5779,5.3873,4.8827,4.5191,3.5362,2.9985,5.1481,5.3511,5.266,5.3502,3.158,2.3219,3.7235,2.8846,4.574,3.3098,6.4692,7.0333,4.7119,3.773,3.0908,2.576,4.5329,4.9379,5.5706,5.5105,5.692,6.099,5.9752,6.8916,6.3853,7.4609,7.4443,7.1397,6.8065,7.4589,8.0209,7.7971,7.6286,7.7888,7.2847,6.8311,6.7486,7.9128,6.5637,2.5448,2.6039
5788.12,5.4957,5.1165,5.0602,5.0926,4.608,4.4463,4.3212,3.9742,3.5243,3.5858,3.4606,3.7721,3.1976,3.3686,3.152,3.566,2.9391,2.7012,2.9233,2.922,3.182,2.5404,2.7997,2.2786,2.4235,2.9515,2.1519,2.6971,2.9953,1.9986,2.7651,2.1509,2.2611,2.7959,1.6055,1.8294,2.0902,1.9509,1.2962,3.1386,1.2638,2.1573,2.2459,1.328,2.1357,1.9612,1.7307,1.1228,1.0255,1.3462,1.9715,1.5986,1.2255,1.7328,0.8682,0.8542,1.3158,1.9529,1.7014,0.0,1.5366,1.5529,0.6318,1.1188,1.8011,1.4527,1.5871,1.6311,1.9539,1.9625,1.7689,1.4455,1.3209,2.3014,2.0274,2.0973,1.8662,1.9369,2.1546,2.3422,2.3788,2.0981,2.3185,2.5419,2.3563,2.8108,2.3063,2.734,2.871,2.6371,2.8618,2.7988,2.814,2.876,3.2774,2.9274,3.4501,3.1561,3.5085,3.2315,3.3246,3.2406,3.3801,3.3927,3.5095,3.2593,3.514,3.9706,3.4885,3.9082,4.0261,4.2572,5.0538,5.6296,12.2262,13.7644,3.5129,3.3183,3.5903,3.416,3.5955,3.7727,4.0279,4.0499,4.0732,4.0195,4.4252,4.5209,4.4849,4.3087,4.1315,4.6172,3.9862,4.5322,4.0745,3.7791,4.4197,4.1204,4.3414,3.8307,3.4304,3.647,3.8013,3.4127,4.3318,3.3818,3.5752,4.2667,4.9029,4.3221,3.6614,4.6922,4.9494,4.4883,5.9567,5.7877,6.416,5.3901,5.2805,5.4244,4.8374,4.9817,5.1934,5.1875,4.5567,8.1344,6.0943,7.5898,6.6776,4.8322,4.7135,7.9393,6.602,3.8208,4.727,4.9084,5.0989,5.2793,7.0883,6.5728,5.9578,5.2273,4.6988,6.8438,7.0362,6.9427,7.0472,4.8323,4.0233,5.4227,4.5274,6.2036,4.9035,8.1608,8.7221,6.3663,5.4545,4.7839,4.2165,6.2164,6.6185,7.2572,7.2058,7.3931,7.8002,7.6614,8.593,8.056,9.155,9.1441,8.8,8.4532,9.1346,9.7118,9.465,9.2823,9.4202,8.8926,8.5273,8.4362,9.5903,8.2572,4.2327,4.2869
5847.01,5.6825,5.2952,5.3187,5.4231,4.6276,5.0852,5.1192,3.5517,3.2651,3.2863,3.1388,3.1347,2.95,2.7839,2.6677,2.8594,4.0844,2.3891,2.5929,2.4375,2.4749,2.2542,2.2394,2.3218,2.051,2.1851,2.8921,2.0383,2.1112,2.5299,4.0795,1.7113,1.7832,1.8564,1.8274,1.5538,1.535,1.4679,2.2169,4.6058,1.8341,1.3132,1.4397,1.4616,1.2153,1.2311,1.036,1.4995,1.34,0.9982,1.0083,0.9777,2.6233,0.7881,1.0978,1.2607,0.7346,0.6773,0.4693,1.5366,0.0,0.2299,1.3314,0.8133,0.7175,1.0063,0.7361,0.8091,1.0944,1.0132,1.2157,2.4,1.8024,1.5546,1.4297,1.5725,2.3806,2.4572,3.1165,3.2189,3.2529,2.2264,2.0243,2.2355,2.3528,3.8352,2.5146,2.5344,3.8244,3.3457,2.5948,3.3759,2.746,2.7242,4.1675,3.6483,4.443,3.9288,4.4406,3.1238,3.9076,3.8176,3.3459,3.1303,3.9695,3.4908,3.8914,4.8696,3.7319,4.3486,4.1243,4.4788,5.4503,6.3692,12.9464,14.2428,1.9827,1.7991,2.0699,1.8926,2.4284,2.6603,2.9096,2.5775,2.6371,2.6092,3.0023,3.1196,2.9563,2.7894,2.6246,3.1094,2.4611,3.0518,2.726,2.5401,3.0744,2.8778,3.1303,2.3776,2.0235,2.2951,2.2952,1.894,3.0521,1.9221,2.0504,3.0529,3.5258,2.9181,2.1565,3.1844,3.6342,3.1309,4.4201,4.2562,4.9188,3.8576,3.7956,3.9174,3.3497,3.537,3.6568,3.7797,3.338,6.6527,4.7512,6.078,5.1678,3.3557,3.3123,6.5166,5.0672,2.3327,3.4931,3.4419,3.6027,3.823,5.6142,5.1717,4.466,3.7264,3.2641,5.4219,5.5223,5.4212,5.5535,3.4833,2.5755,3.9903,3.2445,4.6675,3.3673,6.7499,7.3188,4.8347,4.083,3.3832,2.9414,4.8356,5.2432,5.8638,5.7843,5.9361,6.341,6.2681,7.126,6.6992,7.7337,7.696,7.4632,7.1431,7.7642,8.3002,8.1112,7.9572,8.1348,7.6469,7.0987,7.0369,8.2148,6.7534,2.855,2.9223
5922.04,5.9049,5.5173,5.5375,5.6387,4.8538,5.2796,5.2994,3.781,3.4945,3.516,3.3685,3.3599,3.1789,3.0116,2.8973,3.0829,4.2167,2.6177,2.8222,2.6673,2.7,2.4818,2.4689,2.5374,2.2796,2.4094,3.063,2.2667,2.3295,2.7147,4.1813,1.9395,2.0124,2.0734,2.0221,1.7742,1.7642,1.6952,2.355,4.6667,1.9972,1.5413,1.6678,1.6495,1.4417,1.4609,1.264,1.6653,1.5005,1.2021,1.2357,1.2014,2.6959,1.018,1.239,1.401,0.9385,0.8863,0.6956,1.5529,0.2299,0.0,1.2544,0.6705,0.4925,0.8016,0.5109,0.5823,0.8655,0.7868,0.9908,2.2749,1.6449,1.3265,1.2004,1.3436,2.2046,2.2799,2.9762,3.0661,3.0994,2.0205,1.7982,2.0077,2.1363,3.6944,2.3095,2.308,3.6741,3.1724,2.3664,3.1895,2.5229,2.4983,4.0064,3.473,4.293,3.7563,4.2827,2.8976,3.7169,3.6271,3.1212,2.901,3.7685,3.2776,3.6849,4.705,3.5181,4.1441,3.9019,4.2608,5.239,6.1819,12.7495,14.0283,1.969,1.7675,2.0394,1.8668,2.2542,2.4783,2.7304,2.5052,2.5449,2.5052,2.9052,3.0138,2.9371,2.7567,2.5787,3.0644,2.4368,2.9855,2.5995,2.3821,2.9486,2.723,2.97,2.2934,1.9148,2.167,2.2484,1.8615,2.9073,1.84,2.0265,3.2226,3.6515,3.0386,2.2287,3.2466,3.7774,3.2655,4.4262,4.2848,4.9835,3.8454,3.8722,3.8718,3.4265,3.6365,3.663,3.8933,3.5048,6.7244,4.8818,6.129,5.2219,3.2873,3.2071,6.6164,5.0603,2.4164,3.6558,3.531,3.6723,3.9155,5.6919,5.2826,4.4087,3.792,3.3698,5.5243,5.572,5.4632,5.6193,3.618,2.6803,4.0931,3.3981,4.6811,3.3698,6.8538,7.4246,4.8622,4.2077,3.5016,3.0992,4.9544,5.3626,5.9756,5.886,6.0221,6.4252,6.379,7.2051,6.8209,7.8322,7.7835,7.5893,7.2768,7.8801,8.4017,8.2317,8.0857,8.2729,7.7945,7.1952,7.1445,8.3286,6.81,2.9853,3.0563
6022.04,6.0435,5.6601,5.6193,5.6651,5.1118,5.0599,4.9481,4.346,3.9375,3.9883,3.8536,4.0677,3.6065,3.6739,3.4855,3.8322,3.5653,3.0748,3.2992,3.2482,3.4385,2.9154,3.0958,2.738,2.7655,3.1788,2.7581,2.9544,3.178,2.5646,3.3634,2.4543,2.5589,2.9493,2.0724,2.161,2.3492,2.2233,1.9073,3.655,1.7975,2.3154,2.4247,1.7345,2.2625,2.1456,1.9013,1.579,1.4388,1.5764,2.0674,1.7763,1.8247,1.8075,1.1887,1.2559,1.4391,1.9144,1.6551,0.6318,1.3314,1.2544,0.0,0.6397,1.3449,0.887,1.1053,1.1292,1.4099,1.4408,1.1792,1.1224,0.7484,1.7083,1.4253,1.4824,1.3474,1.4241,1.8626,2.0058,2.042,1.4941,1.6867,1.9103,1.7414,2.5706,1.7239,2.1077,2.589,2.2261,2.2329,2.3386,2.2002,2.2547,2.9669,2.5289,3.199,2.7856,3.2236,2.6189,2.8781,2.7903,2.7787,2.7676,3.0236,2.7056,3.003,3.6732,2.9416,3.4223,3.455,3.7155,4.5668,5.2706,11.8787,13.3308,3.1979,2.982,3.2505,3.0857,3.0499,3.209,3.4616,3.6419,3.6355,3.5656,3.9731,4.0539,4.1516,3.956,3.7611,4.2419,3.6499,4.1249,3.5862,3.2523,3.9247,3.5887,3.7964,3.41,2.9872,3.1689,3.4349,3.0732,3.8103,2.9765,3.245,4.3173,4.8493,4.2455,3.4781,4.4998,4.9413,4.4485,5.6604,5.5339,6.2366,5.0628,5.1207,5.0405,4.6748,4.8684,4.8991,5.1089,4.6068,7.9757,6.0693,7.3832,6.4763,4.4176,4.244,7.848,6.2797,3.6601,4.7693,4.7717,4.9236,5.1537,6.9403,6.5012,5.5501,5.0446,4.5953,6.7531,6.8262,6.7162,6.8722,4.7999,3.9069,5.3216,4.5385,5.9207,4.6038,8.0809,8.6494,6.1102,5.4065,4.7109,4.2305,6.1619,6.569,7.1928,7.1155,7.2656,7.67,7.5973,8.4531,8.0228,9.0651,9.0261,8.783,8.4558,9.0908,9.6314,9.4351,9.2746,9.4413,8.9397,8.4301,8.3671,9.5425,8.0644,4.1768,4.2411
6030.04,6.1312,5.7435,5.7328,5.8063,5.1331,5.3162,5.2655,4.201,3.852,3.8882,3.7451,3.8432,3.5243,3.4694,3.3177,3.5826,4.008,2.9676,3.1863,3.0802,3.1899,2.8166,2.9008,2.7532,2.6359,2.9095,3.026,2.7245,2.8657,2.7511,3.8765,2.3,2.3919,2.6184,2.1385,2.0595,2.155,2.0528,2.2202,4.2453,1.9776,2.0228,2.1447,1.7617,1.9438,1.8918,1.6577,1.6842,1.5176,1.4381,1.7351,1.5548,2.3412,1.4815,1.2279,1.3592,1.2181,1.4751,1.235,1.1188,0.8133,0.6705,0.6397,0.0,0.7087,0.382,0.4761,0.5134,0.8389,0.8437,0.7093,1.6044,0.9892,1.2243,0.9785,1.0832,1.5757,1.6533,2.3087,2.4061,2.4401,1.4876,1.4369,1.6668,1.6622,3.0274,1.7676,1.9302,3.0124,2.5368,2.0238,2.5798,2.0963,2.1072,3.3542,2.8404,3.6313,3.1189,3.6273,2.502,3.1163,3.0262,2.7019,2.5752,3.1991,2.7652,3.1369,4.0566,3.0077,3.5863,3.4498,3.7717,4.7072,5.5702,12.1593,13.5039,2.5663,2.3469,2.6143,2.4514,2.477,2.6577,2.9135,3.0035,3.0018,2.9361,3.3435,3.4293,3.5149,3.3174,3.1216,3.6023,3.0135,3.4868,2.9704,2.6615,3.3128,3.0022,3.2227,2.7729,2.3538,2.5476,2.7957,2.4374,3.2156,2.3374,2.6103,3.8661,4.3209,3.7086,2.8915,3.9019,4.4411,3.9325,5.0279,4.9114,5.6378,4.426,4.534,4.401,4.0889,4.3058,4.2679,4.5638,4.1514,7.3816,5.5503,6.7723,5.8687,3.7805,3.6206,7.2851,5.6428,3.0828,4.3062,4.1978,4.331,4.5831,6.3529,5.9529,4.9127,4.4483,4.0399,6.1936,6.2149,6.0997,6.2736,4.2851,3.3506,4.7627,4.0556,5.2906,3.972,7.5233,8.0943,5.4862,4.8774,4.1719,3.7537,5.6247,6.033,6.646,6.5551,6.6866,7.0888,7.0494,7.8661,7.4912,8.5004,8.4481,8.259,7.9447,8.5506,9.0706,8.902,8.755,8.9394,8.4565,7.863,7.8145,8.999,7.4572,3.6535,3.7234
6039.06,6.3974,6.0098,6.0294,6.1291,5.345,5.7519,5.7552,4.2516,3.9791,3.9982,3.8503,3.81,3.6658,3.4736,3.3712,3.5272,4.6087,3.1055,3.3076,3.144,3.1514,2.9715,2.942,3.0284,2.7677,2.8587,3.5117,2.7337,2.7608,3.1803,4.5262,2.4284,2.4987,2.5026,2.4993,2.2667,2.2503,2.1854,2.7667,4.9389,2.4429,2.0087,2.1348,2.1225,1.9033,1.9428,1.7533,2.117,1.9488,1.6887,1.7026,1.6936,3.0061,1.4998,1.6724,1.8294,1.4264,1.3183,1.1657,1.8011,0.7175,0.4925,1.3449,0.7087,0.0,0.5713,0.2453,0.2532,0.3853,0.2961,0.5995,2.1888,1.4959,0.8394,0.7507,0.8975,1.9741,2.0432,2.8328,2.8869,2.9175,1.6879,1.3699,1.5641,1.7561,3.5396,1.9742,1.8722,3.4938,2.9314,1.9158,2.9073,2.1055,2.0646,3.7924,3.2224,4.1073,3.5116,4.0754,2.4601,3.4162,3.3276,2.6916,2.4384,3.4327,2.8999,3.3304,4.4761,3.1361,3.7939,3.4814,3.8587,4.8608,5.8802,12.4104,13.6309,1.9067,1.6769,1.9376,1.7834,1.8352,2.042,2.2974,2.2974,2.2931,2.2287,2.6361,2.7247,2.8331,2.6277,2.4258,2.903,2.3341,2.7802,2.2734,1.994,2.6188,2.337,2.5708,2.0652,1.6452,1.8467,2.1032,1.7636,2.5396,1.6334,1.9396,3.5258,3.8505,3.2336,2.3386,3.3116,4.0145,3.4885,4.3564,4.2644,5.0358,3.7422,3.9602,3.698,3.5205,3.7775,3.6015,4.0627,3.7985,6.7829,5.0821,6.1444,5.2493,3.0728,2.9166,6.7383,4.9574,2.5451,3.9389,3.6503,3.7475,4.038,5.7685,5.4356,4.2052,3.857,3.5274,5.6569,5.5876,5.4625,5.6699,3.8375,2.8476,4.2365,3.6626,4.6248,3.3046,6.9841,7.5573,4.8344,4.3993,3.686,3.3764,5.1273,5.5345,6.1274,6.0152,6.1154,6.5127,6.5272,7.2785,6.9923,7.9473,7.8737,7.7687,7.4746,8.035,8.5222,8.3963,8.2696,8.479,8.0243,7.3077,7.2823,8.4775,6.8351,3.2027,3.2807
6072.11,6.4967,6.1087,6.1028,6.18,5.4873,5.6981,5.6464,4.5113,4.1832,4.2149,4.07,4.1246,3.8582,3.7621,3.6255,3.8549,4.3712,3.2982,3.5134,3.39,3.4663,3.1508,3.2025,3.1144,2.9628,3.1798,3.4078,3.0144,3.1151,3.1319,4.2178,2.6234,2.7099,2.8615,2.5112,2.4017,2.4673,2.3749,2.5987,4.5414,2.3593,2.2973,2.4224,2.1325,2.2076,2.1866,1.9629,2.0633,1.8959,1.7832,1.9981,1.8714,2.6775,1.7569,1.6059,1.7399,1.5471,1.6824,1.4691,1.4527,1.0063,0.8016,0.887,0.382,0.5713,0.0,0.3452,0.3181,0.5246,0.5682,0.3288,1.6191,0.9248,0.854,0.5978,0.7015,1.4273,1.4998,2.2639,2.3251,2.3564,1.2205,1.0765,1.3034,1.3537,2.9734,1.5091,1.5799,2.9334,2.3933,1.6637,2.3945,1.7662,1.7628,3.2438,2.6901,3.5493,2.9767,3.5246,2.1615,2.9183,2.8286,2.3716,2.2137,2.967,2.486,2.8855,3.9348,2.7276,3.3436,3.1369,3.4794,4.4443,5.3844,11.948,13.238,2.4743,2.2417,2.4986,2.3487,2.1632,2.327,2.5809,2.8182,2.7892,2.709,3.1151,3.187,3.3884,3.177,2.9686,3.439,2.8923,3.297,2.7108,2.366,3.0456,2.7019,2.9099,2.5789,2.1437,2.3005,2.6516,2.3266,2.9245,2.1656,2.5034,4.0135,4.3925,3.7759,2.9009,3.8815,4.5409,4.0203,4.9157,4.8323,5.6069,4.2944,4.5285,4.2239,4.0876,4.3366,4.164,4.6148,4.293,7.354,5.6252,6.7147,5.8203,3.582,3.3751,7.3033,5.5068,3.1043,4.4404,4.2136,4.3169,4.6012,6.3386,5.9934,4.7134,4.4272,4.0819,6.2194,6.1581,6.0318,6.2411,4.3714,3.3978,4.7956,4.1745,5.1866,3.8671,7.5477,8.1206,5.4008,4.9448,4.2328,3.8805,5.6795,6.0874,6.686,6.5786,6.6841,7.0821,7.0869,7.849,7.5462,8.5138,8.4431,8.3205,8.0201,8.5937,9.088,8.9526,8.8201,9.0219,8.5571,7.8744,7.8445,9.0377,7.4058,3.7362,3.8115
