,HB106,JC003,HB101,JC066,5470.12,JC149,5297.02,JC032,HB105,HB612,JC133,JC006,JC082,JC115,JC116,JC119,6459.07,JC138,5368.03,5175.08,5679.08,6432.09,6578.01,6765.01,JC074,JC022,JC055,JC094,HB609,HB202,HB103,JC109,HB603,JC093,JC103,HB602,HB407,JC057,JC009,JC072,HB201,HB304,JC084,JC110,JC095,HB203,JC018,JC105,JC034,JC081
JC082,2.0435,0.4431,1.9098,0.9876,2.7507,0.5614,2.325,0.2886,2.0147,1.965,3.9559,0.4115,0.0,0.2498,0.9292,2.607,4.8556,4.7431,2.32,3.054,4.0577,6.4382,5.1319,5.5173,0.3191,1.9494,2.1247,2.4634,2.0954,3.8156,2.1274,2.0932,2.9752,2.4917,2.1257,2.7386,2.0815,2.5223,0.671,1.0903,3.5904,2.7843,2.1578,0.902,2.4083,3.9056,2.0376,1.5462,1.5934,0.7969
JC115,2.2614,0.1971,2.1303,1.1718,2.7647,0.5224,2.2794,0.3588,2.2421,2.1906,3.7887,0.4655,0.2498,0.0,0.8111,2.4825,5.0476,4.5879,2.302,2.9834,4.113,6.5863,5.3309,5.7266,0.4983,2.1722,2.17,2.525,2.3144,4.0509,2.3414,2.2135,3.2102,2.5322,2.2781,2.9663,2.3279,2.7708,0.9154,0.8674,3.8227,3.0333,2.0604,0.7136,2.4091,4.1455,2.2143,1.7868,1.8185,0.9577
JC116,2.3078,0.815,2.2027,1.2083,2.0706,0.4042,1.5012,1.1598,2.3517,2.2917,4.2383,0.6144,0.9292,0.8111,0.0,3.0838,4.8562,5.066,1.5622,2.1796,3.4816,6.1937,5.1709,5.6185,1.2478,2.8128,2.9767,3.3348,2.3639,4.1553,2.3582,3.0137,3.3338,3.3365,3.0548,3.0402,2.6162,3.2127,1.5019,0.5629,3.9052,3.355,2.7286,1.298,3.192,4.2938,2.9614,2.3496,2.4568,1.7259
JC119,4.5259,2.3544,4.3861,3.5824,5.1544,2.9704,4.5432,2.3499,4.4478,4.4115,1.4844,2.9479,2.607,2.4825,3.0838,0.0,7.388,2.1826,4.638,5.1136,6.5562,9.0423,7.6372,7.9706,2.4846,3.3576,1.6605,1.8948,4.5705,6.0935,4.6238,2.3273,5.2933,1.6973,2.6522,5.1333,4.2938,4.3548,2.8904,2.6706,5.9114,4.8224,0.5183,1.8041,1.2924,6.1152,2.8604,3.3672,3.1661,2.3933
6459.07,2.8629,5.2283,3.0028,3.8759,3.6752,4.7049,4.3234,5.072,2.9528,2.9838,8.7998,4.6227,4.8556,5.0476,4.8562,7.388,0.0,9.5643,4.0654,4.6673,3.0135,2.0781,0.3617,0.9104,4.9146,4.5439,6.2842,6.4284,2.8197,1.8534,2.7642,5.7595,2.3015,6.5866,5.491,2.3318,3.2439,3.6291,4.4996,5.4172,1.8399,3.0811,6.8909,5.7545,6.7429,2.0509,5.2028,4.2314,4.5143,5.0181
JC138,6.7044,4.4342,6.5646,5.7294,7.0956,5.0351,6.4125,4.5034,6.6293,6.5922,0.8373,5.0481,4.7431,4.5879,5.066,2.1826,9.5643,0.0,6.5531,6.8599,8.5315,11.1742,9.8175,10.1532,4.6516,5.4648,3.6336,3.726,6.7497,8.2661,6.8011,4.3155,7.4724,3.5096,4.6534,7.3158,6.4709,6.4857,5.0709,4.5659,8.0888,6.9748,2.6933,3.8783,3.1638,8.2788,4.9018,5.5286,5.3097,4.5754
5368.03,2.3969,2.3569,2.374,1.8481,0.5517,1.7827,0.2583,2.601,2.5387,2.483,5.7173,1.9092,2.32,2.302,1.5622,4.638,4.0654,6.5531,0.0,0.9064,1.9928,4.9869,4.4184,4.9371,2.6133,3.8025,4.4447,4.7801,2.4403,3.9963,2.3772,4.3551,3.3226,4.8116,4.316,2.9896,3.0398,3.7998,2.6364,1.9937,3.7336,3.7057,4.2908,2.8602,4.7104,4.2043,4.1522,3.2704,3.4836,3.055
5175.08,3.2948,2.9924,3.2769,2.7251,1.0177,2.4937,0.7664,3.3169,3.4406,3.3857,6.0251,2.6575,3.054,2.9834,2.1796,5.1136,4.6673,6.8599,0.9064,0.0,2.0681,5.2671,5.028,5.567,3.3654,4.6752,5.1534,5.5066,3.3365,4.8248,3.2698,5.1375,4.1919,5.5148,5.129,3.8599,3.9461,4.7058,3.4612,2.4555,4.5647,4.6073,4.8319,3.4259,5.3682,5.044,4.9854,4.1476,4.3466,3.8298
5679.08,3.089,4.2132,3.1593,3.2597,1.4422,3.5999,2.1736,4.3455,3.269,3.2407,7.6977,3.6624,4.0577,4.113,3.4816,6.5562,3.0135,8.5315,1.9928,2.0681,0.0,3.2133,3.3643,3.9143,4.2966,4.9993,6.1118,6.4027,3.0993,3.8674,3.0052,5.8674,3.5549,6.4768,5.7403,3.2836,3.8357,4.5877,4.1444,3.9656,3.6505,4.2571,6.1676,4.7537,6.45,4.1216,5.5142,4.4844,4.7609,4.6589
6432.09,4.6385,6.7428,4.7723,5.4603,4.4665,6.1538,5.2187,6.6927,4.7686,4.7841,10.3707,6.1271,6.4382,6.5863,6.1937,9.0423,2.0781,11.1742,4.9869,5.2671,3.2133,0.0,2.1053,2.3369,6.5677,6.4959,8.1298,8.3171,4.6078,3.9311,4.5318,7.6664,4.3036,8.4565,7.4248,4.2638,5.1641,5.6467,6.2222,6.746,3.9039,5.1133,8.5742,7.2969,8.5643,4.1274,7.143,6.1218,6.4156,6.7652
